source_file	seq	headword	page	sentence_no	sentence_clean
0001-0250.md	81	备份	23	8	我的备份在另外一个U盘里存着。
0251-0500.md	265	沉重	73	4	雅价后，他党得姪沸負担比辻去 況重了ｲ艮多。
0251-0500.md	267	陈旧	73	1	屋子里的家具ｲ艮除旧。
0251-0500.md	267	陈旧	73	3	他掌出 了一些陳旧的照片蛤我ｲi 肴。
0251-0500.md	268	陈列	73	2	我ｲl, 把最新的芦品陳列在大斤 里。
0251-0500.md	273	成本	75	1	利潤ｲ艮大。
0251-0500.md	273	成本	75	2	我ｲ｢ 根据生声成本輔定价格。
0251-0500.md	273	成本	75	4	我ｲ ､1合理控制了成本，所以价格可 以雄持不変。
0251-0500.md	274	成交	75	2	最近我ｲil成交了両芝生意。
0251-0500.md	274	成交	75	5	他ｲ､的成交价格比根价ｲ氏一些。
0251-0500.md	276	成效	75	4	我ｲi 巳姪看到了 教学改革的成效。
0251-0500.md	277	成心	76	1	他成心制造矛盾，想看熟l制。
0251-0500.md	283	承诺	77	1	老人劫作返簔，但服各員ｲ艮有耐心。
0251-0500.md	283	承诺	77	2	由子交通梱堵，我ｲ1 的牟 走一会ﾉし停一会ﾉし。
0251-0500.md	283	承诺	77	3	工程透展狼退援，我ｲi 都狼着急。
0251-0500.md	284	城堡	77	2	父素承諾ｲ艮期帯我去中国旅涛。
0251-0500.md	285	乘	78	2	他ｲi 当吋共建了狼多城塗。
0251-0500.md	285	乘	78	7	我 ，ｲ､乗火牟到北京需要20本小吋。
0251-0500.md	287	盛	78	4	休把菜盛到盆子里ﾛ巴。
0251-0500.md	287	盛	78	7	家西太 多，包里盛不 F了。
0251-0500.md	288	惩罚	78	6	迭次怒罰蛤他的教うI1根深刻。
0251-0500.md	288	惩罚	78	9	他ｲi 制定了評格的怒罰措施。
0251-0500.md	289	澄清	79	3	e迄小 可題我需要澄清一下。
0251-0500.md	289	澄清	79	4	他再三澄清了他ｲi 之 司的美系。
0251-0500.md	298	持久	81	3	他ｲ､需要的是持久的未平，而不是暫吋的停火。
0251-0500.md	299	赤道	81	4	我ｲi 国家在赤道以北。
0251-0500.md	300	赤字	81	2	他ｲl, 的目杯是両年内消天赤字。
0251-0500.md	302	充沛	82	2	我ｲ､要圦清遠秤行方的五 悪本願。
0251-0500.md	304	充足	83	2	I 我ｲil有充足的把握取得腔利。
0251-0500.md	304	充足	83	13	他ｲ､向致方友起了ﾝ中去。
0251-0500.md	304	充足	83	20	他ｲil〉中突辻好凡次了。
0251-0500.md	304	充足	83	23	r坊上爆友了暴カン中突。
0251-0500.md	318	出路	86	5	他ｲi 正在考慮衣止的出路同題。
0251-0500.md	318	出路	86	8	芦品我不到出路，工人ｲi 恨着急。
0251-0500.md	318	出路	86	12	我ｲ､不会出圭変履食品。
0251-0500.md	318	出路	86	17	我ｲI 大相信他了，錯果都被他出実了。
