seq	headword	page	best_source_file	best_backup_seq	best_backup_headword	best_match_type	candidate_count	snippet
1	哎哟	1				example_contains	0	
2	挨	1	0251-0500.md	394	当逸	example_contains	34	## 0394. 当逸  - ピンイン: dāng yì - 例文:   - 他当逸了新一届怠銃。   - 誰也没想到他会当逃。   - 姪辻逃拳， 他高票当逸了ﾉｰｰ院。   - 祝彌悠当逸力新校挨。   - 他只差一票没有 当逸上系主任。   - 他ｲ､都是新当逸的学生会成員。 - 例文ピンイン:   - tā dāng yì le xīn yī jiè dài chòng.   - shuí yě méi xiǎng dào tā huì dāng táo.   - z
3	癌症	1	1001-1250.md	1178	扩散	example_contains	3	## 1178. 扩散  - ピンイン: kuò sàn - 例文:   - 速秤灌言〃散出去ﾇ寸我ｲ'.]根不利。   - 医院叔级采取措施，防止 病情＃散。   - 他的癌症出現了才散，狼唯治行了。   - 没想到这秤 病蟇ガ散得遠公快。   - 消息如果ガ散出去，就不会有人来根名了。 - 例文ピンイン:   - sù chèng guàn yán 〃 sàn chū qù ﾇ cùn wǒ ｲ'.] gēn bù lì 。   - yī yuàn shū jí cǎi 
4	爱不释手	1				example_contains	0	
5	爱戴	2				example_contains	0	
6	暧昧	2				example_contains	0	
7	安居乐业	2	3251-3500.md	2500	制止	example_contains	3	## 2500. 制止  - ピンイン: zhìzhǐ - 例文:   - 我们应该制止战争，维护和平   - 家长及时制止了孩于的不良行为   - 这场纠纷后来被警察制止了   - 他要在公共场合抽烟，被大家制止住了   - 有人还想提问，但主持人做了一个制止的动作   - 这座城市的治安非常好，貌晕率很低   - 他们的工作是维护地区的治安，减少不法事件发生   - 社会治安情况好，人民才能安居乐业   - 你晚上尽量少出去，听说那儿的治安不太好 - 例文ピンイン:   
68	报销	19	0001-0250.md	192	财务	example_contains	1	## 0192. 财务  - ピンイン: cáiwù - 例文:   - 公司在制定明年的财务计划。   - 这笔账要到财务部报销。   - 各部门的收入由财务统一管理。   - 他是负责财务的工作人员。   - 我们只能按照财务规定办理。 - 例文ピンイン:   - gōngsī zài zhìdìng míngnián de cáiwù jìhuà.   - zhè bǐ zhàng yào dào cáiwù bù bàoxiāo.   - gè bùmén de sh
69	抱负	20	2251-2500.md	2050	先进	example_contains	1	## 2050. 先进  - ピンイン: xiānjìn - 例文:   - 这些设备都是国际上最先进的   - 他各方面表现都很好，被学校评为了先进教师   - 他们的思想都很先进，有远大的抱负   - 他们已经掌握了最先进的技术   - 他是今年工厂的先进   - 我们要向先进学习   - 今年评比先进，你肯定没问题   - 他们人人争当先进，工作非常积极   - 大家要向先进看齐，做好自己的工作 - 例文ピンイン:   - zhè xiē shè bèi dōu shì
70	抱怨	20	0251-0500.md	282	返鈍	example_contains	3	## 0282. 返鈍  - ピンイン: fǎn dùn - 例文:   - 他党得自己老了，反皮也越来越返鈍了。   - 美国一价研究扱告 指出，失脳返鈍的ﾉし童有75％是由子貧困而声生的。   - 吃得辻飽 容易引起氾!I乙力下降、思雄返鈍、注意力不集中等症状。   - 蛋然姪 辻了治行，但他的反皮逐是恨返純。   - 他常常抱怨自己返鈍，反皮 比別人慢半柏。 - 例文ピンイン:   - tā dǎng dé zì jǐ lǎo le ， fǎn pí yě yuè lá
