missing_seq	missing_headword	source_file	backup_seq	backup_headword	match_type	snippet
2	挨	0251-0500.md	394	当逸	example_contains	## 0394. 当逸  - ピンイン: dāng yì - 例文:   - 他当逸了新一届怠銃。   - 誰也没想到他会当逃。   - 姪辻逃拳， 他高票当逸了ﾉｰｰ院。   - 祝彌悠当逸力新校挨。   - 他只差一票没有 当逸上系主任。   - 他ｲ､都是新当逸的学生会成員。 - 例文ピンイン:   - tā dāng yì le xīn yī jiè dài chòng.   - shuí yě méi xiǎng dào tā huì dāng táo.   - z
2	挨	0251-0500.md	433	雛塑	example_contains	## 0433. 雛塑  - ピンイン: chú sù - 例文:   - 公国里有恨多雛塑。   - 学生ｲ､力老校挨立起了一座雛塑。   - 迄 我恨喜炊速些雛塑，セイl､ 都非常逼真。 - 例文ピンイン:   - gōng guó lǐ yǒu hèn duō chú sù.   - xué shēng ｲ､ lì lǎo xiào āi lì qǐ le yī zuò chú sù.   - qì   wǒ hèn xǐ chuī sù xiē chú sù ，セイl
2	挨	0251-0500.md	444	董事技	example_contains	## 0444. 董事技  - ピンイン: dǒng shì jì - 例文:   - 公司董事技参加了迄次重要会双。   - 下面清董事挨力大家併 活。   - 重大事頂必須向董事挨扱告。   - 作カー名董事挨，他精通 管理。   - 董事技同意了遠坂改革措施。 - 例文ピンイン:   - gōng sī dǒng shì jì cān jiā le qì cì zhòng yào huì shuāng.   - xià miàn qīng dǒng shì āi lì 
2	挨	0251-0500.md	445	劫筋	example_contains	## 0445. 劫筋  - ピンイン: jié jīn - 例文:   - 那吋社会劫蕩不安，老百姓的生活也没有保障。   - 技迭20多 年的幼蕩婆子姑束了。   - 在那小劫蕩的年代，人ｲl､ 普遍鉄乏安全 感。   - 那里局勢劫蕩，危険重重，老百姓達家、也不敢出。   - 那 小地区的局勢挨期劫蕩，反政府武装非常活妖。 - 例文ピンイン:   - nà cùn shè huì jié dàng bù ān ， lǎo bǎi xìng de shēng huó yě
2	挨	0501-0750.md	642	眼前	example_contains	## 0642. 眼前  - ピンイン: yǎn qián - 例文:   - 〈名＞身辺；附近   - ⑪我就在他跃前，他都没注意到   - 父素希望老了以后，弦子能   - 留在跃前照願自己   - 核子ｲ､都姑在了家挨眼前   - 我巳姪把遠   - 些盗料放到他銀前了   - 等他走到我跃前，我オ圦出他来 - 例文ピンイン:   - 〈 míng ＞ shēn biān ； fù jìn   - ⑪ wǒ jiù zài tā yuè qián ， tā dōu mé
2	挨	0501-0750.md	716	共和図	example_contains	## 0716. 共和図  - ピンイン: gòng hé tú - 例文:   - ＜名＞実施共和制的国家   - 他被逃拳力共矛ﾛ国主席   - 今天是共和国成立60周年的日子   - ⑬姪辻挨期的努力，他ｲl,]鼠葵领手全国人民建立了共和国   - 国的全称是中隼人民共和国 - 例文ピンイン:   - ＜ míng ＞ shí shī gòng hé zhì de guó jiā   - tā bèi táo quán lì gòng máo ﾛ guó zhǔ xí 
2	挨	0501-0750.md	764	贵族	example_contains	## 0764. 贵族  - ピンイン: guì zú - 例文:   - <名＞古代社会及現代君主制国家中享有特枚的上層   - 他出身子贵族家庭   - 他辻着上屋贵族的富裕生活   - 族身伶決定了他的命迄   - 地根向性贵族社会的生活   - 族家庭以后，地感到狼不自由   - ----------.------.---..---.----....--昌一一一一一一一一._ .___-.-.------._‐_-. ..- -----．_-_------.---  
2	挨	1001-1250.md	1062	敬礼	example_contains	## 1062. 敬礼  - ピンイン: jìng lǐ - 例文:   - 他ｲ｢]拳起手向老師敬礼。   - 践士几了首挨要敬礼。   - 他面対国 鎮敬礼，眼晴里今着泪。   - 交通警察首先向司机敬了一小礼，然后 情他出示鴛获征。   - 他向汎次敬进礼后，就升始了根告。 - 例文ピンイン:   - tā ｲ｢] quán qǐ shǒu xiàng lǎo shī jìng lǐ 。   - jiàn shì jǐ le shǒu āi yào jìng lǐ 。 
2	挨	1001-1250.md	1167	蝋燭	example_contains	## 1167. 蝋燭  - ピンイン: là zhú - 例文:   - 〈名〉用蜻或其他油脂制成的照明用具 ④生日蛋犠上播了五根培姓。 ＠没屯了，我ｲI､]点培姓ﾛ巴。   - 培蝕 燃焼自己，照亮別人，常被人歌噸。   - 我发了一包虹培姓。 *￨q 的合音，兼有珸气助同 、返弦子挨大嘩！ 了 与44I阿   - 身上就要上深喰！ - 例文ピンイン:   - 〈 míng 〉 yòng qīng huò qí tā yóu zhī zhì chéng de zhào m
2	挨	1251-1500.md	1324	免得	example_contains	## 1324. 免得  - ピンイン: miǎn dé - 例文:   - 休帯把伞巴，免得下雨挨淋   - 到学校后打小屯活，免得家里人担心   - 我蛤休我小草帽戴上巴，免得晒佑   - 我上了l司绅，免得第二天早上起不来 - 例文ピンイン:   - xiū dài bǎ sǎn bā， miǎn dé xià yǔ āi lín   - dào xué xiào hòu dǎ xiǎo tún huó， miǎn dé jiā lǐ rén dān xīn   - w
